Taylor weights	|E_1|_2-optimal	|E_1|_inf-optimal	E_r1|_2-optimal	|E_r1|_inf-optimal	|E_g1|_2-optimal	|E_g1|_inf-optimal	Liu (2014)
1.256598035902343	1.270976589743519	1.271389637550513	1.271296051419056	1.271698010669029	1.269622391930418	1.270065406986407	1.271216000000000
-0.125659803590234	-0.139221156206579	-0.139629759339811	-0.139536684913516	-0.139935188116089	-0.137890140633300	-0.138324654023489	-0.139457800000000
0.036620857046297	0.048705532319544	0.049105362326365	0.049013307847848	0.049404968096004	0.047419842720931	0.047837782797082	0.048936140000000
-0.013588444173023	-0.023798604330755	-0.024185561004227	-0.024095027677919	-0.024476593746816	-0.022578377382648	-0.022972502457953	-0.024020390000000
0.005360980390323	0.013582911569883	0.013953226794891	0.013864704959717	0.014233124924724	0.012445438641056	0.012809673557542	0.013793340000000
-0.002093440689610	-0.008447019442016	-0.008797349130616	-0.008711314161489	-0.009063794337768	-0.007406093010999	-0.007735781351621	-0.008643880000000
0.000779404072132	0.005528413927402	0.005855915042002	0.005772822759782	0.006106879187603	0.004593894193411	0.004885949470138	0.005709894000000
-0.000270193411672	-0.003731728254511	-0.004034118172618	-0.003954399951645	-0.004267901504896	-0.002909350349111	-0.003162299997523	-0.003896436000000
0.000085701485825	0.002564001184324	0.002839597776936	0.002763655184976	0.003054858285207	0.001855422806886	0.002069347221804	0.002711002000000
-0.000024503095967	-0.001776331396708	-0.002024072797205	-0.001952271817769	-0.002219846521005	-0.001179404257125	-0.001355782376134	-0.001905154000000
0.000006224924450	0.001231658970892	0.001451102851129	0.001383767718114	0.001626813754359	0.000740890474678	0.000882370469897	0.001342289000000
-0.000001383839538	-0.000849172923779	-0.001040475814690	-0.000977882505004	-0.001195936110088	-0.000456333605255	-0.000566452025411	-0.000942026000000
0.000000264482984	0.000578505494479	0.000742383927614	0.000684752613351	0.000877790784666	0.000273329166942	0.000356205041772	0.000654389800000
-0.000000042515912	-0.000386784727822	-0.000524459944041	-0.000471945583385	-0.000640396388595	-0.000157706554920	-0.000217735874522	-0.000446845500000
0.000000005583919	0.000251717235668	0.000364846513637	0.000317523302630	0.000462322878409	0.000086596278783	0.000128170849899	0.000297366300000
-0.000000000574901	-0.000157695389455	-0.000248292833779	-0.000206118659628	-0.000329003289314	-0.000044475312538	-0.000071744053929	-0.000190516800000
0.000000000043485	0.000093507795454	0.000163858576930	0.000126556268136	0.000231845718470	0.000020778435123	0.000037464769889	0.000115088200000
-0.000000000002148	-0.000050939879330	-0.000103511166901	-0.000069970072258	-0.000185712475536	-0.000008374840245	-0.000017655809667	-0.000062290520000
0.000000000000052	0.000023888215770	0.000089251618860	0.000023198201926	0.000089897567569	0.000002545727369	0.000007916124928	0.000019969290000
